c,r,n,r2,m
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1039"",id: ""1039"",value: ""' 937 broadway at 22nd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/473 -8388"",name: ""aja"",cuisine: ""american"",id: ""179"",label: ""a179""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1039"",id: ""1039"",value: ""' 937 broadway at 22nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1039"",id: ""1039"",value: ""' 937 broadway at 22nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1237"",id: ""1237"",value: ""'90 prince st. between broadway and mercer st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/966 -6722"",name: ""zoe"",cuisine: ""american"",id: ""378"",label: ""a378""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1237"",id: ""1237"",value: ""'90 prince st. between broadway and mercer st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1237"",id: ""1237"",value: ""'90 prince st. between broadway and mercer st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1236"",id: ""1236"",value: ""'34 union sq. e at 16th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/614 -9291"",name: ""` zen palate '"",cuisine: ""` and 212/614 -9345 asian '"",label: ""a377"",id: ""377""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1236"",id: ""1236"",value: ""'34 union sq. e at 16th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1236"",id: ""1236"",value: ""'34 union sq. e at 16th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1235"",id: ""1235"",value: ""' 174 1st ave. between 10th and 11th sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/614 -0620"",name: ""xunta"",cuisine: ""mediterranean"",id: ""376"",label: ""a376""})"
