r1,a1,c,a2,r2
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1598"",id: ""1598"",value: ""' 8638 w. third st. '""})","(:Restaurant {phone: ""310-274-1893"",name: ""` locanda veneta '"",cuisine: ""italian"",label: ""a764"",id: ""764""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1595"",id: ""1595"",value: ""' 435 s. la cienega blvd. '""})","(:Restaurant {phone: ""310-246-1501"",name: ""` arnie morton \ 's of chicago '"",cuisine: ""steakhouses"",id: ""751"",label: ""a751""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1448"",id: ""1448"",value: ""' 544 s. grand ave. '""})","(:Restaurant {phone: ""213-891-0900"",name: ""` water grill '"",cuisine: ""seafood"",label: ""a599"",id: ""599""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1436"",id: ""1436"",value: ""' 923 e. third st. '""})","(:Restaurant {phone: ""213-687-7178"",name: ""r-23"",cuisine: ""japanese"",id: ""587"",label: ""a587""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1388"",id: ""1388"",value: ""' 515 s. olive st. '""})","(:Restaurant {phone: ""213-612-1580"",name: ""` bernard \ 's '"",cuisine: ""continental"",label: ""a538"",id: ""538""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1034"",id: ""1034"",value: ""'60 n. venice blvd. '""})","(:Restaurant {phone: ""310/823 -5396"",name: ""` west beach cafe '"",cuisine: ""american"",label: ""a174"",id: ""174""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1032"",id: ""1032"",value: ""' 9876 wilshire blvd. '""})","(:Restaurant {phone: ""310/276 -6345"",name: ""` trader vic \ 's '"",cuisine: ""asian"",label: ""a172"",id: ""172""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1031"",id: ""1031"",value: ""' 3835 cross creek rd. '""})","(:Restaurant {phone: ""310/456 -0169"",name: ""` tra di noi '"",cuisine: ""italian"",label: ""a171"",id: ""171""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1030"",id: ""1030"",value: ""' 7313 melrose ave. '""})","(:Restaurant {phone: ""213/937 -5733"",name: ""` tommy tang \ 's '"",cuisine: ""asian"",label: ""a170"",id: ""170""})"
"(:Restaurant {phone: ""310/277 -7346"",name: ""prego"",cuisine: ""italian"",id: ""160"",label: ""a160""})","(:Address {label: ""f1022"",id: ""1022"",value: ""' 362 n. camden dr. '""})","(:City {label: ""v1663"",id: ""1663"",value: ""` los angeles '""})","(:Address {label: ""f1029"",id: ""1029"",value: ""' 430 n. camden dr. '""})","(:Restaurant {phone: ""310/859 -0926"",name: ""` the mandarin '"",cuisine: ""asian"",label: ""a169"",id: ""169""})"
