id,name,phone,type
23,'21 club ',212/582 -7200,american
24,aquavit,212/307 -7311,continental
25,aureole,' 212 / 319-1660 ',american
26,` cafe lalo ',212/496 -6031,` coffee bar '
27,` cafe des artistes ',212/877 -3500,continental
28,` carmine \ 's ',212/362 -2200,italian
29,` carnegie deli ',212/757 -2245,delicatessen
30,chanterelle,212/966 -6960,american
31,daniel,212/288 -0033,french
32,dawat,212/355 -7555,asian
33,felidia,212/758 -1479,italian
34,` four seasons grill room ',212/754 -9494,american
35,` gotham bar & grill ',212/620 -4020,american
36,` gramercy tavern ',212/477 -0777,american
37,` island spice ',212/765 -1737,` tel caribbean '
38,` jo jo ',212/223 -5656,american
39,` la caravelle ',212/586 -4252,french
40,` la cote basque ',212/688 -6525,french
41,` le bernardin ',212/489 -1515,french
42,` les celebrites ',212/484 -5113,french
43,lespinasse,212/339 -6719,american
44,lutece,212/752 -2225,french
45,` manhattan ocean club ',' 212 / 371-7777 ',seafood
46,march,212/754 -6272,american
47,` mesa grill ',212/807 -7400,american
48,` mi cocina ',212/627 -8273,mexican
49,montrachet,' 212 / 219-2777 ',french
50,oceana,212/759 -5941,seafood
51,` park avenue cafe ',212/644 -1900,american
52,petrossian,212/245 -2214,french
53,picholine,212/724 -8585,mediterranean
54,pisces,212/260 -6660,seafood
55,` rainbow room ',212/632 -5000,` or 212/632 -5100 american '
57,` san domenico ',212/265 -5959,italian
58,` second avenue deli ',212/677 -0606,delicatessen
59,seryna,212/980 -9393,asian
60,` shun lee west ',212/371 -8844,asian
61,` sign of the dove ',212/861 -8080,american
62,` smith & wollensky ',212/753 -1530,american
63,` tavern on the green ',212/873 -3200,american
64,` uncle nick \ 's ',212/315 -1726,mediterranean
65,` union square cafe ',212/243 -4020,american
66,` virgil \ 's ',' 212 / 921-9494 ',american
112,bolo,212/228 -2200,mediterranean
113,` il nido ',212/753 -8450,italian
114,remi,212/581 -4242,italian
175,'20 mott ',212/964 -0380,asian
176,' 9 jones street ',212/989 -1220,american
177,adrienne,212/903 -3918,french
178,agrotikon,212/473 -2602,mediterranean
179,aja,212/473 -8388,american
180,alamo,' 212 / 759-0590 ',mexican
181,` alley \ 's end ',212/627 -8899,american
182,` ambassador grill ',212/702 -5014,american
