r1_id,r1_name,r1_phone,r1_cuisine,r2_id,r2_name,r2_phone,r2_cuisine,a1_value,a2_value,c1_value,c2_value
351,spring street natural restaurant & bar,212/966 -0290,american,372,vince & eddie,212/721 -0068,american,62 spring st at lafayette st,70 w 68th st,` new york ',` new york '
326,pen & pencil,212/682 -8660,american,372,vince & eddie,212/721 -0068,american,205 e 45th st,70 w 68th st,` new york ',` new york '
246,fishin eddie,212/874 -3474,seafood,372,vince & eddie,212/721 -0068,american,73 w 71st st,70 w 68th st,` new york ',` new york '
228,dean & deluca,212/254 -8776,` coffee bar ',372,vince & eddie,212/721 -0068,american,121 prince st,70 w 68th st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,372,vince & eddie,212/721 -0068,american,45 mercer st between broome and grand sts,70 w 68th st,` new york ',` new york '
35,gotham bar & grill,212/620 -4020,american,372,vince & eddie,212/721 -0068,american,12 e 12th st,70 w 68th st,` new york ',` new york '
344,sarabeth kitchen,212/496 -6280,american,367,turkish kitchen,212/679 -1810,` middle eastern ',423 amsterdam ave between 80th and 81st sts,386 3rd ave between 27th and 28th sts,` new york ',` new york '
273,jean lafitte,212/751 -2323,french,365,trois jean,212/988 -4858,` coffee bar ',68 w 58th st,154 e 79th st between lexington and 3rd aves,` new york ',` new york '
345,sea grill,212/332 -7610,seafood,364,tribeca grill,212/941 -3900,american,19 w 49th st,375 greenwich st near franklin st,` new york ',` new york '
277,judson grill,212/582 -5252,american,364,tribeca grill,212/941 -3900,american,152 w 52nd st,375 greenwich st near franklin st,` new york ',` new york '
269,inca grill,212/966 -3371,` latin american ',364,tribeca grill,212/941 -3900,american,492 broome st near w broadway,375 greenwich st near franklin st,` new york ',` new york '
221,china grill,212/333 -7788,american,364,tribeca grill,212/941 -3900,american,60 w 53rd st,375 greenwich st near franklin st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,364,tribeca grill,212/941 -3900,american,45 mercer st between broome and grand sts,375 greenwich st near franklin st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,364,tribeca grill,212/941 -3900,american,25 w 40th st between 5th and 6th aves,375 greenwich st near franklin st,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,364,tribeca grill,212/941 -3900,american,1 united nations plaza at 44th st,375 greenwich st near franklin st,` new york ',` new york '
34,four seasons grill room,212/754 -9494,american,364,tribeca grill,212/941 -3900,american,99 e 52nd st,375 greenwich st near franklin st,` new york ',` new york '
